duan.Label-Analysis(4),,,,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,,,,
1984,762.161,15.5901,3613.67,4515.88,1034.8,124,,,,,,15.5901
3840,1183.96,19.4287,2996.62,4519.97,1038.33,125,,,,,,19.4287
2112,832.859,15.9184,3023.56,4582.86,1037.36,126,,,,,,15.9184
6976,1753.75,23.7066,2709.08,1119.29,1045.54,127,,,,,,23.7066
778240,43031.9,114.123,3268.35,1299.12,1087.53,128,,,,,,114.123
23680,4063.5,35.6282,3856.79,1440.69,1051.47,129,,,,,,35.6282
12736,3456.13,28.9742,2432.73,1727.14,1056.56,130,,,,,,28.9742
2944,969.238,17.782,2661.04,2117.89,1042.76,131,,,,,,17.782
1984,738.605,15.5901,2835.21,2182.59,1041,132,,,,,,15.5901
7744,1898.67,24.5465,3817.2,2268.03,1046.77,133,,,,,,24.5465
6976,1784.96,23.7066,3825.08,2390.66,1047,134,,,,,,23.7066
4416,1366.21,20.3553,3248.93,3739.8,1041.02,135,,,,,,20.3553
2496,1116.79,16.8299,3346.34,3792.74,1041.8,136,,,,,,16.8299
7680,2543.81,24.4787,3625.86,3883.67,1049.36,137,,,,,,24.4787
4224,1271.63,20.0559,3601.93,3907.53,1042.57,138,,,,,,20.0559
1344,559.333,13.692,3339.72,3922.34,1038.36,139,,,,,,13.692
7040,1855.21,23.7789,3696.85,4376.45,1043.95,140,,,,,,23.7789
1472,622.721,14.1136,2755.13,4506.58,1038.24,141,,,,,,14.1136
3136,1046.81,18.1604,2359.94,4541.8,1041.38,142,,,,,,18.1604
3904,1193.07,19.5361,3427.81,4567.76,1043.72,143,,,,,,19.5361
13568,2751.7,29.5919,3919.01,1331.59,1052.59,144,,,,,,29.5919
1472,613.348,14.1136,2730.61,1458.75,1045.02,145,,,,,,14.1136
23616,4046.86,35.5961,3892.05,1462.37,1054.38,146,,,,,,35.5961
1344,600.627,13.692,2317.24,2017.96,1042.36,147,,,,,,13.692
6272,1784.61,22.8807,3548.26,2138.86,1048.81,148,,,,,,22.8807
11520,2512.9,28.0211,2435.29,3720.93,1052,149,,,,,,28.0211
14208,2861.96,30.05,3810.81,3775.19,1052.52,150,,,,,,30.05
