chushi.resampled.Label-Analysis,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,
9664,2179.15,26.4273,3268.55,3769.73,1084.47,240,,,26.4273
1344,562.628,13.692,3022.58,4184.25,1076.84,241,,,13.692
2240,789.915,16.2337,3736.78,4220.93,1076.87,242,,,16.2337
4288,1282.7,20.1567,2625.34,4548.36,1081.08,243,,,20.1567
2304,826.192,16.3868,3350.51,4714.1,1077.38,244,,,16.3868
1408,629.258,13.906,2879.32,897.648,1078.75,245,,,13.906
1664,646.462,14.7023,2760.49,954.641,1078.93,246,,,14.7023
2624,926.294,17.1128,2360.91,1015.98,1079.32,247,,,17.1128
3136,1042.95,18.1604,3393.24,1209.88,1081.54,248,,,18.1604
2688,903.435,17.2508,2737.43,1604.91,1081.98,249,,,17.2508
74304,10824.7,52.16,3876.12,1639.94,1109.14,250,,,52.16
1728,682.658,14.8884,3507.25,2219.7,1081.3,251,,,14.8884
19072,4789.52,33.1487,2898.43,3209.29,1100.29,252,,,33.1487
16000,3151.97,31.2637,2852.19,3634.57,1089.54,253,,,31.2637
3904,1421.85,19.5361,3657.91,4244.28,1087.46,254,,,19.5361
2560,881.364,16.9726,3705.76,4296.2,1080.13,255,,,16.9726
1536,611.959,14.3152,2875.29,4867.1,1078.93,256,,,14.3152
1856,708.25,15.2473,2471.65,1654.41,1082.52,257,,,15.2473
6720,1711.76,23.413,3559.98,2033.39,1089.9,258,,,23.413
5632,1537.84,22.0744,3644.46,3773.51,1087.89,259,,,22.0744
2176,801.836,16.0776,2923.31,4117.46,1083.28,260,,,16.0776
22848,3956.48,35.206,3351.39,4342.56,1094,261,,,35.206
1344,559.281,13.692,2638,4443.67,1084.26,262,,,13.692
978432,56163,123.172,3914.59,4512.38,1140.42,263,,,123.172
418816,41889.6,92.8271,3394.41,4608.53,1115.1,264,,,92.8271
199616,17701.9,72.5102,2445.88,4796.2,1112.03,265,,,72.5102
152704,17275.1,66.3158,2815.88,4833.3,1112.98,266,,,66.3158
7104,1750.64,23.8507,2648.69,5083.28,1086.9,267,,,23.8507
3456,1149.1,18.7582,2776.29,727.769,1088.71,268,,,18.7582
1792,792.411,15.07,3203.67,933.674,1086.07,269,,,15.07
1344,562.707,13.692,2494,1402.15,1086.93,270,,,13.692
5184,1461.97,21.4728,3063.85,1519.65,1094.24,271,,,21.4728
1856,702.972,15.2473,3079.23,1698.55,1087.07,272,,,15.2473
2752,934.3,17.3867,2859.79,1976.41,1091.49,273,,,17.3867
1664,645.687,14.7023,2874.19,2830.8,1087.39,274,,,14.7023
4928,1369.82,21.1134,2703.63,4183,1090.2,275,,,21.1134
33088,5841.25,39.8313,3198.93,4433.08,1099.94,276,,,39.8313
8832,2138.01,25.646,3695.13,4605.68,1090.99,277,,,25.646
22208,3845.32,34.8742,2878.13,4989.06,1099.36,278,,,34.8742
103040,13463.7,58.166,3295.93,865.669,1123.21,279,,,58.166
128128,21518.9,62.5483,3046.59,1029.97,1123.87,280,,,62.5483
